"country_school","school","country","lat","lng","Nex","Npos"
"liberia-16348",16348,"liberia",7.37655555,-8.70701388,29,0
"liberia-16349",16349,"liberia",7.409624995,-8.662888885,30,0
"liberia-16350",16350,"liberia",7.572083325,-8.53716666,30,2
"liberia-16351",16351,"liberia",7.35,-8.7097495,30,0
"liberia-16352",16352,"liberia",7.64940275,-8.6848472,30,0
"liberia-16353",16353,"liberia",7.60676385,-8.6188194,30,1
"liberia-16354",16354,"liberia",7.54463885,-8.5610277,30,3
"liberia-16355",16355,"liberia",7.6891805,-8.57288885,29,0
"liberia-16356",16356,"liberia",7.3443605,-8.717569,30,0
"liberia-16357",16357,"liberia",7.5748885,-8.5480415,30,0
"liberia-16358",16358,"liberia",7.5691944,-8.54698605,30,0
"liberia-16360",16360,"liberia",7.3580416,-8.7124718,29,0
"liberia-17362",17362,"liberia",7.273555,-8.498416,30,0
"liberia-17363",17363,"liberia",7.24852777,-8.519388885,30,0
"liberia-17366",17366,"liberia",7.2658194,-8.50465275,30,1
"liberia-17367",17367,"liberia",7.2764166,-8.49938885,29,0
"liberia-17368",17368,"liberia",7.26144443,-8.48987495,30,1
"liberia-17370",17370,"liberia",7.30951385,-8.53995832,30,1
"liberia-17371",17371,"liberia",7.33698605,-8.57945805,30,0
"liberia-17372",17372,"liberia",7.3774444,-8.5721527,30,0
"liberia-17373",17373,"liberia",7.390305,-8.51751385,30,0
"liberia-17374",17374,"liberia",7.3409861,-8.4468194,30,0
"liberia-17375",17375,"liberia",7.35874995,-8.5163333,30,0
"liberia-17376",17376,"liberia",7.3202775,-8.4734165,30,0
"liberia-17377",17377,"liberia",7.32597215,-8.44923605,30,0
"liberia-17379",17379,"liberia",7.4088472,-8.45226385,30,0
"liberia-17380",17380,"liberia",7.28549995,-8.4460833,30,0
"liberia-18401",18401,"liberia",7.025569444,-8.731402778,30,2
"liberia-18402",18402,"liberia",7.029208333,-8.726847222,30,0
"liberia-18403",18403,"liberia",7.080097222,-8.757458333,30,0
"liberia-18404",18404,"liberia",7.102194444,-8.750486111,30,1
"liberia-18405",18405,"liberia",7.049597222,-8.649527778,30,4
"liberia-18406",18406,"liberia",7.083888889,-8.808444444,30,0
"liberia-18407",18407,"liberia",7.009708333,-8.676555556,30,0
"liberia-18408",18408,"liberia",7.016541667,-8.779569444,30,1
"liberia-18409",18409,"liberia",6.9795,-8.762305556,30,1
"liberia-18410",18410,"liberia",7.039958333,-8.764305556,30,0
"liberia-18411",18411,"liberia",7.102944444,-8.760180556,30,1
"liberia-18412",18412,"liberia",7.066458333,-8.726019444,30,1
"liberia-18414",18414,"liberia",7.108236111,-8.710097222,30,1
"liberia-18415",18415,"liberia",7.107125,-8.674069444,30,0
"liberia-18416",18416,"liberia",7.053916667,-8.573138889,30,2
"liberia-18417",18417,"liberia",7.125347222,-8.605458333,30,1
"liberia-18418",18418,"liberia",7.121777778,-8.630722222,30,0
"liberia-19382",19382,"liberia",7.241847,-8.99228,30,0
"liberia-19383",19383,"liberia",7.2268,-8.98911,30,0
"liberia-19384",19384,"liberia",7.237705,-8.9882055,30,0
"liberia-19385",19385,"liberia",7.221194,-8.97346,30,0
"liberia-19386",19386,"liberia",7.2117083,-8.89490275,30,0
"liberia-19387",19387,"liberia",7.2270555,-8.9797916,30,0
"liberia-19388",19388,"liberia",7.228995,-8.9794405,30,0
"liberia-19389",19389,"liberia",7.223234,-8.94027,30,0
"liberia-19392",19392,"liberia",7.22738,-8.97118,30,0
"liberia-19393",19393,"liberia",7.217285,-8.978355,30,0
"liberia-19394",19394,"liberia",7.223347,-8.892347,30,0
"liberia-19395",19395,"liberia",7.226805,-8.9766105,30,0
"liberia-19396",19396,"liberia",7.2372025,-8.9820415,30,0
"liberia-19397",19397,"liberia",7.241527,-8.98394,30,0
"liberia-19398",19398,"liberia",7.21533,-8.97843,30,0
"liberia-19399",19399,"liberia",7.240305556,-8.992555,30,0
"liberia-2001",2001,"liberia",7.00205,-9.45481,30,5
"liberia-2002",2002,"liberia",6.984885,-9.46726,26,2
"liberia-2008",2008,"liberia",7.011325,-9.488765,30,15
"liberia-2010",2010,"liberia",7.004595,-9.472055,29,3
"liberia-2012",2012,"liberia",6.995135,-9.464705,27,10
"liberia-2013",2013,"liberia",7.00501,-9.478375,27,8
"liberia-2014",2014,"liberia",7.006125,-9.469915,30,7
"liberia-2016",2016,"liberia",7.0012,-9.470015,7,6
"liberia-2018",2018,"liberia",6.974905,-9.479765,29,5
"liberia-2019",2019,"liberia",6.998155,-9.459755,30,7
"liberia-20421",20421,"liberia",7.005013889,-8.464402778,29,1
"liberia-20422",20422,"liberia",6.976625,-8.421097222,30,3
"liberia-20423",20423,"liberia",6.879694,-8.3906765,30,2
"liberia-20426",20426,"liberia",6.903152,-8.3885275,30,2
"liberia-20427",20427,"liberia",6.94958,-8.39326,30,1
"liberia-20428",20428,"liberia",6.8674555,-8.356666,30,2
"liberia-20429",20429,"liberia",6.8430415,-8.327736,30,3
"liberia-20430",20430,"liberia",6.887041667,-8.397333333,29,0
"liberia-20431",20431,"liberia",6.793722222,-8.383180556,30,3
"liberia-20432",20432,"liberia",6.949163889,-8.514236111,30,1
"liberia-20433",20433,"liberia",6.902166667,-8.479027778,30,4
"liberia-20434",20434,"liberia",6.829597222,-8.344583333,30,1
"liberia-20435",20435,"liberia",6.835902778,-8.342308333,30,2
"liberia-20437",20437,"liberia",6.753013889,-8.420527778,30,2
"liberia-20438",20438,"liberia",6.77525,-8.369458333,30,3
