"country_school","school","country","lat","lng","Nex","Npos"
"liberia-8151",8151,"liberia",6.8006111,-10.3659444,30,0
"liberia-8152",8152,"liberia",6.80798611,-10.36263888,29,0
"liberia-8153",8153,"liberia",6.81748611,-10.36330555,30,0
"liberia-8154",8154,"liberia",6.8556527,-10.3246944,28,0
"liberia-8155",8155,"liberia",6.8793472,-10.3033333,30,1
"liberia-8156",8156,"liberia",6.90025,-10.25836111,30,0
"liberia-8157",8157,"liberia",6.794,-10.44266,29,1
"liberia-8158",8158,"liberia",6.816041,-10.468666,30,0
"liberia-8159",8159,"liberia",6.85198611,-10.42441666,30,0
"liberia-8160",8160,"liberia",6.83134722,-10.28083486,29,1
"liberia-9121",9121,"liberia",6.81694444,-9.93633333,30,3
"liberia-9122",9122,"liberia",6.81404166,-9.93736111,25,2
"liberia-9123",9123,"liberia",6.8079305,-9.94525,29,1
"liberia-9124",9124,"liberia",6.8085694,-9.9436666,30,1
"liberia-9125",9125,"liberia",6.8085416,-9.9385833,28,5
"liberia-9126",9126,"liberia",6.78220833,-9.94861111,29,3
"liberia-9127",9127,"liberia",6.78276385,-9.954,29,0
"liberia-9128",9128,"liberia",6.8214077,-9.94262495,14,1
"liberia-9129",9129,"liberia",6.9240694,-9.9624166,29,5
"liberia-9130",9130,"liberia",6.8775833,-9.9890972,29,3
"liberia-9131",9131,"liberia",6.78075,-9.9743333,28,1
"liberia-9132",9132,"liberia",6.767611105,-10.01808333,30,1
"liberia-9133",9133,"liberia",6.7658054,-10.04676,29,0
"liberia-9134",9134,"liberia",6.75113888,-9.952936106,29,4
"liberia-9135",9135,"liberia",6.74990277,-10.10720833,28,3
"liberia-9137",9137,"liberia",6.7644444,-9.952050413,30,3
"liberia-9138",9138,"liberia",6.76320833,-10.03536111,29,2
"liberia-9139",9139,"liberia",6.81045825,-9.9376666,29,4
"liberia-9140",9140,"liberia",6.7578472,-9.9208333,24,4
