longitude,latitude,elev_m,dist_to_water_m,bioclim1,bioclim4,bioclim12,bioclim15
39.3880548,5.3390914,1576,6872,197.4975,838.9425,665.2975,105.7325
39.7523573,5.3390914,1554,14248,188.7975,947.6625,775.465,107.9
40.1166599,5.3390914,1178,2031,223.15,909.135,570.4875,113.0825
40.4809624,5.3390914,1025,6016,239.975,843.0625,464.4625,117.1875
40.845265,5.3390914,1229,1726,220.4475,870.4275,540.8325,114.1
41.2095675,5.3390914,488,6575,268.9175,795.0675,335.4975,123.91
41.57387,5.3390914,550,7424,269.135,812.265,340.2875,124.5775
41.9381726,5.3390914,318,5338,284.95,809.4125,297.5,129.7375
42.3024751,5.3390914,401,389,281.735,830.1675,316.2625,132.065
42.6667776,5.3390914,574,1495,270.855,868.4425,357.47,130.8525
43.0310802,5.3390914,561,10884,272.5175,874.1825,356.3475,132.0
43.3953827,5.3390914,607,14674,270.7375,896.225,357.5125,129.2375
43.7596853,5.3390914,418,7015,277.5025,853.5925,327.9075,128.9
44.1239878,5.3390914,294,1956,285.5275,806.965,288.8175,127.15
44.4882903,5.3390914,224,6029,288.515,810.7775,259.2275,128.2425
44.8525929,5.3390914,325,3127,282.5625,760.9125,260.6625,124.2875
45.2168954,5.3390914,464,22722,271.58,765.63,280.9975,119.7325
35.3807269,5.7033939,826,5965,241.71,825.0375,907.695,42.0525
35.7450294,5.7033939,479,13324,261.7825,820.5425,780.8075,43.9
36.109332,5.7033939,783,561,250.53,872.3125,866.115,43.1
36.4736345,5.7033939,938,2421,246.92,929.6725,870.6175,44.1425
36.8379371,5.7033939,1419,13690,224.8175,1018.42,982.59,45.6
37.2022396,5.7033939,1005,920,237.145,950.06,701.505,48.8575
37.5665421,5.7033939,1505,4321,222.025,877.375,706.625,55.225
37.9308447,5.7033939,1402,1758,206.3775,745.3025,806.65,64.9825
38.2951472,5.7033939,2030,4645,181.9025,735.2775,1023.5825,70.445
38.6594497,5.7033939,1691,3481,198.5,608.1025,852.2025,77.745
39.0237523,5.7033939,1688,3466,197.75,615.2625,841.95,82.375
39.3880548,5.7033939,1541,10985,199.0925,659.265,791.455,90.7575
39.7523573,5.7033939,1327,5066,206.015,734.3625,740.9625,98.5275
40.1166599,5.7033939,1469,10090,206.2,775.2,731.8925,103.15
40.4809624,5.7033939,1146,5563,219.85,783.2875,627.1,108.575
40.845265,5.7033939,647,5040,252.9975,771.635,437.8675,117.3525
41.2095675,5.7033939,444,671,270.1025,788.4,355.3875,122.9475
41.57387,5.7033939,576,2051,267.035,779.17,366.5625,125.3
41.9381726,5.7033939,478,5027,276.875,789.55,331.0875,127.1875
42.3024751,5.7033939,716,736,261.835,825.885,383.88,123.67
42.6667776,5.7033939,522,2352,275.895,829.69,343.8375,127.4775
43.0310802,5.7033939,423,1858,278.7425,815.475,338.7075,126.3125
43.3953827,5.7033939,337,1205,283.9625,787.175,327.9375,126.75
43.7596853,5.7033939,274,280,286.2675,772.765,315.6,126.4175
44.1239878,5.7033939,246,1535,284.3375,784.7425,309.0775,128.995
44.4882903,5.7033939,342,3467,278.6525,794.52,304.6275,128.265
44.8525929,5.7033939,355,15596,277.875,765.0625,287.025,125.2
45.2168954,5.7033939,494,6104,268.2425,780.035,291.4875,123.42
45.5811979,5.7033939,389,24026,272.9275,778.1775,257.8825,125.6225
35.0164244,6.0676965,990,1670,231.6125,790.6425,1050.7125,49.4
35.3807269,6.0676965,1376,4011,210.1825,814.095,1263.3175,41.4175
35.7450294,6.0676965,815,919,237.0775,818.6125,1107.16,43.3225
36.109332,6.0676965,543,551,262.145,817.205,897.345,45.15
36.4736345,6.0676965,1061,8403,243.605,909.61,1064.6025,43.805
36.8379371,6.0676965,1754,5513,206.705,1039.25,1328.1675,44.1
37.2022396,6.0676965,2064,9189,177.665,984.675,1433.5925,48.8825
37.5665421,6.0676965,1223,3226,215.4875,722.625,928.375,50.9125
37.9308447,6.0676965,1417,4122,220.1475,700.275,834.915,56.6
38.2951472,6.0676965,2547,4741,152.51,633.78,1550.9375,53.2475
38.6594497,6.0676965,2320,3069,173.13,575.9225,1491.315,57.9575
39.0237523,6.0676965,1423,971,207.75,632.2375,885.0625,69.0125
39.3880548,6.0676965,1945,4001,202.2975,654.4375,905.075,72.145
39.7523573,6.0676965,974,13386,225.275,681.515,676.2775,89.9875
40.1166599,6.0676965,1171,7532,221.1425,702.9375,694.825,96.3425
40.4809624,6.0676965,1048,9976,231.3625,733.9625,609.125,104.875
40.845265,6.0676965,843,3964,243.92,755.0075,517.665,112.195
41.2095675,6.0676965,752,1013,250.865,774.845,468.3725,117.0475
41.57387,6.0676965,615,5738,269.355,773.8875,373.93,122.8775
41.9381726,6.0676965,872,3859,246.8,801.25,456.375,118.3375
42.3024751,6.0676965,720,2741,259.6525,804.1925,397.285,121.9475
42.6667776,6.0676965,479,1944,280.665,785.0825,328.4325,123.485
43.0310802,6.0676965,305,2087,288.605,757.7725,310.245,127.5975
43.3953827,6.0676965,306,5010,287.5625,741.075,326.125,122.0
43.7596853,6.0676965,385,2762,275.8825,759.1375,357.6975,123.3175
44.1239878,6.0676965,452,4219,272.8175,783.9175,359.2975,126.285
44.4882903,6.0676965,401,8246,274.7225,810.605,339.3775,127.4725
44.8525929,6.0676965,446,41123,269.6125,797.55,323.175,127.9125
45.2168954,6.0676965,482,30639,267.8525,782.18,295.5425,129.5
45.5811979,6.0676965,435,43019,269.6,791.1275,264.4575,126.6475
45.9455005,6.0676965,367,73403,272.65,792.405,228.1975,130.2125
35.0164244,6.431999,0,177,250.4225,731.72,1026.92,61.0725
35.3807269,6.431999,763,728,241.22,703.845,1116.255,55.8175
35.7450294,6.431999,1278,8700,219.1,762.4325,1397.5525,45.3225
36.109332,6.431999,568,2272,258.3625,785.4125,1050.265,47.8
36.4736345,6.431999,857,7287,238.785,888.4975,1275.875,44.105
36.8379371,6.431999,1531,3937,210.57,1038.405,1445.47,44.3575
37.2022396,6.431999,950,1170,240.45,866.8775,986.28,45.6175
37.5665421,6.431999,1786,830,189.9875,1006.1,1268.4625,48.55
37.9308447,6.431999,1175,1104,236.5225,807.245,703.1275,47.7725
38.2951472,6.431999,1472,8916,205.0075,724.9325,1129.92,49.1625
38.6594497,6.431999,2409,7242,153.0625,649.5275,1505.7075,47.6425
39.0237523,6.431999,2328,9999,161.1875,654.3625,1247.675,48.2
39.3880548,6.431999,1834,304,183.745,731.1525,1092.4425,55.4475
39.7523573,6.431999,1428,7760,208.165,737.67,869.97,72.95
40.1166599,6.431999,1081,947,227.45,746.065,690.1325,89.45
